2	6	51.83	51.82	0.01	0.02%	Multi Color Baseball & Snapback Hat For Men
2	7	28.39	28.38	0.01	0.04%	Gym Training Sports Fitness Weightlifting Wrist Wrap Gloves (L,black/blue)
3	19	40.74	40.73	0.01	0.02%	Brown Cowboy Hat For Men
4	12	33.78	33.76	0.02	0.06%	Sand Beach Mesh Storage Bag For Kids Summer Beach Shell Toys Clothes Tote Bags
4	16	17.98	17.97	0.01	0.06%	Gear S3 Frontier/Classic Watch Band Soft Silicone Man Watch Replacement Bracelet Strap for Samsung Gear S3
5	5	43.96	43.95	0.01	0.02%	Silicone Baby Teether Pacifier Glove Natural Thumb Sound Teething Chewable Nursing Beads Child Give Up Sucking Fingers
7	2	22.2	22.0	0.2	0.9%	Cartoon Baby Toys 0-12 Months Soft Animal Baby Rattles Wrist Strap Baby Foot Socks
18	16	21.8	21.79	0.01	0.05%	Wayfarer Sunglasses For Women, Clear
2018-08-16 13:32:55	2	9	60.75	60.74	0.01	0.02%	Cat Dog Toilet Training Device
2018-08-16 13:33:01	3	7	42.0	41.99	0.01	0.02%	Educational Toy Math for children ,Multi Color
2018-08-16 13:53:27	2	8	21.96	21.95	0.01	0.05%	Acquarium joyful accessory Luminous fish tank Landscaping Decoration Simulation fluorescent jellyfish floating soft jelly fish Imitation fish-voc,pink
2018-08-16 13:53:57	8	18	57.87	57.86	0.01	0.02%	Kemei KM-2209 Professional Electronic Hair Straightener Hair Curler 2 in 1 Irons 90W Hairstyling Portable Flat Straightening Corrugated Curling Styling Tools EU Plug
2018-08-16 14:24:17	1	5	21.95	21.94	0.01	0.05%	Acquarium joyful accessory Luminous fish tank Landscaping Decoration Simulation fluorescent jellyfish floating soft jelly fish Imitation fish-voc,pink
2018-08-16 14:32:53	1	1	21.94	21.93	0.01	0.05%	Acquarium joyful accessory Luminous fish tank Landscaping Decoration Simulation fluorescent jellyfish floating soft jelly fish Imitation fish-voc,pink
2018-08-16 14:32:54	1	10	31.19	31.18	0.01	0.03%	Ice Ball Maker Mold 4.5cm Spheres Essential Silicone Round Ice Ball Sphere Maker Molds
2018-08-16 14:58:11	2	20	34.45	34.4	0.05	0.15%	Wooden FIshing Sets Educational Toys
2018-08-16 15:16:41	6	14	84.6	84.59	0.01	0.01%	Head bed baby nursing breastfeeding u shape pillow - Panda Pattern
2018-08-16 15:37:29	1	9	21.93	21.9	0.03	0.14%	Acquarium joyful accessory Luminous fish tank Landscaping Decoration Simulation fluorescent jellyfish floating soft jelly fish Imitation fish-voc,pink
2018-08-16 15:37:38	3	4	51.6	51.5	0.1	0.19%	Multi Color Baseball & Snapback Hat For Men
2018-08-16 15:44:22	12	8	31.5	31.2	0.3	0.95%	Brown Straw Cowboy Hat For Men
2018-08-16 16:34:35	1	1	31.2	31.1	0.1	0.32%	Brown Straw Cowboy Hat For Men
2018-08-16 16:43:08	7	8	36.92	36.89	0.03	0.08%	Grip Suction Mount Handle
2018-08-16 16:56:07	3	2	35.85	35.84	0.01	0.03%	White Cowboy Hat For Kids
2018-08-16 17:30:30	6	7	90.29	90.28	0.01	0.01%	Funny Skeleton Coin Bank Moneybox
2018-08-16 17:36:11	3	10	44.96	44.95	0.01	0.02%	Pokemon Mega Charizard Large Plush Toys
2018-08-16 22:16:38	1	19	37.84	37.83	0.01	0.03%	Premium Flexible Silicone Round Spheres Ice Tray- Molds 4 X 4.5cm Round Ice Ball Spheres
2018-08-16 22:49:57	1	19	31.17	31.16	0.01	0.03%	Ice Ball Maker Mold 4.5cm Spheres Essential Silicone Round Ice Ball Sphere Maker Molds
2018-08-17 10:26:10	4	8	27.0	26.99	0.01	0.04%	Men leather videng polo brand casual travel messenger bag small cross body business handbag Black
2018-08-17 10:26:24	7	9	43.94	43.9	0.04	0.09%	Silicone Baby Teether Pacifier Glove Natural Thumb Sound Teething Chewable Nursing Beads Child Give Up Sucking Fingers
2018-08-17 10:27:21	18	16	38.99	38.9	0.09	0.23%	8 pcs Jurassic Park World Dinosaur Puzzle toy building blocks toys for children
2018-08-17 10:27:26	19	13	97.38	97.37	0.01	0.01%	New style Beach Toys Deluxe Playset for Kids 12 pcs Large Dump Truck Sand Shovel Set
2018-08-17 10:30:42	12	19	85.0	84.9	0.1	0.12%	Funky Men Earring Magnet Clip with Superman Printed Single Piece
2018-08-17 12:04:45	2724317853149	4	2	34.0	33.9	0.1	0.29%	Fashionable Multi Function crossbody bag for ladies M-8
2018-08-18 11:01:55	2724607289306	2	18	38.8	38.79	0.01	0.0%	8 pcs Jurassic Park World Dinosaur Puzzle toy building blocks toys for children
2018-08-18 11:03:55	2724338111662	3	6	70.0	69.99	0.01	0.0%	Metal Grab Handle for 2 Door Jeep Wrangler JK
2018-08-18 11:10:00	2724454538275	4	8	84.59	84.58	0.01	0.0%	Head bed baby nursing breastfeeding u shape pillow - Panda Pattern
2018-08-18 11:11:39	2724330742086	4	15	41.99	41.98	0.01	0.0%	Educational Toy Math for children ,Multi Color
2018-08-18 11:41:40	2724318377453	1	1	14.5	14.49	0.0	0.0%	Mirror Wall Clock 3d Decorative Wall Clocks Diy Wall Watches Home Decor
2018-08-18 11:42:18	2724330742086	1	2	41.98	41.97	0.0	0.0%	Educational Toy Math for children ,Multi Color
2018-08-18 11:43:11	2724454538275	1	3	84.58	84.57	0.0	0.0%	Head bed baby nursing breastfeeding u shape pillow - Panda Pattern
2018-08-18 11:43:30	2724338111662	1	4	69.99	69.98	0.0	0.0%	Metal Grab Handle for 2 Door Jeep Wrangler JK
2018-08-18 11:43:42	2724607289306	1	5	38.79	38.78	0.0	0.0%	8 pcs Jurassic Park World Dinosaur Puzzle toy building blocks toys for children
2018-08-18 11:43:54	2724278416254	1	6	10.99	10.98	0.0	0.0%	10 x Wearable Salon DIY Nail Acrylic UV Gel Polish Remover Soak Soakers Cap Tool
2018-08-18 11:44:15	2724449401249	1	7	107.0	106.99	0.0	0.0%	ORP-2069 LCD Digital Type Red Pen PH Tester Water Quantity Pool Tester ORP Meter
2018-08-18 11:44:48	2724603503369	1	8	90.0	89.99	0.0	0.0%	Jeep Wrangler Grab Handles,Topist Heavy Duty Ultimate Roll Bar Grab Handles Set, Jeep Wrangler Grab Bar, Easy-to-fit for Off Road
2018-08-18 11:45:00	2724465113195	1	9	21.8	21.79	0.0	0.0%	Acquarium joyful accessory Luminous fish tank Landscaping Decoration Simulation fluorescent jellyfish floating soft jelly fish Imitation fish-voc,pink
2018-08-18 11:46:46	2724463568621	1	12	37.79	37.78	0.0	0.0%	Premium Flexible Silicone Round Spheres Ice Tray- Molds 4 X 4.5cm Round Ice Ball Spheres
2018-08-18 11:47:22	2724457405758	1	14	65.0	64.99	0.0	0.0%	Non-contact Digital Laser Tachometer RPM Meter DT2234C tester Speed
2018-08-18 11:47:44	2724339631305	1	15	30.98	30.97	0.0	0.0%	Premium Flexible Silicone Round Spheres Ice Tray- Molds 4 X 4.5cm Round Ice Ball Spheres
2018-08-18 11:51:55	2724328998341	2	1	90.27	90.26	0.0	0.0%	Funny Skeleton Coin Bank Moneybox
2018-08-18 11:53:13	2724448564747	2	3	26.67	26.66	0.0	0.0%	Digital PH Meter 3 in 1 plants Flowers Soil Water Light Tester Sensor Monitor for Aquarium Indoor Garden Plant Flowers PH meter
2018-08-18 11:55:10	2724338208263	2	6	37.5	37.49	0.0	0.0%	Paw Patrol Pup Pals Toy Soft Plush Toy 8" Nickelodeon Dog Doll -Skye
2018-08-18 11:56:31	2724342751762	2	8	44.81	44.8	0.0	0.0%	Pokemon Mega Charizard Large Plush Toys
2018-08-18 12:29:25	2724454538220	2	12	88.99	88.98	0.0	0.0%	Head bed baby nursing breastfeeding u shape pillow - Black house Pattern
2018-08-18 13:00:19	2724511971601	1	17	31.96	31.95	0.0	0.0%	Sand Beach Mesh Storage Bag For Kids Summer Beach Shell Toys Clothes Tote Bags
2018-08-18 13:00:31	2724470472034	1	18	40.6	40.59	0.0	0.0%	Brown Cowboy Hat For Men
2018-08-18 13:00:45	2724326397429	1	20	30.93	30.92	0.0	0.0%	Mens Coin Purse Pockets Credit Card Holder Dull Clutch Bifold Wallet
2018-08-18 13:01:04	2724331202503	2	1	29.9	29.89	0.0	0.0%	Folding men cowboy hat outdoor large brimmed YLDZ1-2
2018-08-18 13:01:20	2724312913787	2	2	32.63	32.62	0.0	0.0%	Pockets Credit Card Holder Dull Clutch Bifold Mens Coin Purse Wallet
2018-08-18 13:01:34	2724336739684	2	3	31.0	30.99	0.0	0.0%	Brown Straw Cowboy Hat For Men
